0	116.558252	39.76472298	0	1000	0	0	0	0	0	0	0
1	116.461249	39.8180051	0	1000	0	0	0	0	0	0	0
2	116.4707005	39.82551845	451	974	10	1	20	18	25	9	15
3	116.4781773	39.81458159	118	534	10	7	8	20	1	21	0
4	116.4580484	39.79880298	378	733	10	14	23	13	24	14	16
5	116.5015956	39.83031627	477	965	10	19	25	24	18	10	16
6	116.556934	39.82385391	20	610	10	5	2	8	2	13	16
7	116.5325839	39.82338831	245	684	10	0	13	24	17	22	24
8	116.4526286	39.78281106	172	569	10	4	0	6	17	0	0
9	116.4640215	39.76426653	245	640	10	24	23	15	0	22	20
10	116.480108	39.75542749	231	666	10	14	13	21	19	15	7
11	116.4777315	39.78249164	430	779	10	7	17	22	0	24	1
12	116.5334037	39.80825866	33	511	10	1	19	7	25	16	21
13	116.5570127	39.80407408	50	523	10	25	1	4	13	20	2
14	116.5743095	39.80361589	462	978	10	16	11	19	23	15	10
15	116.5777505	39.78176716	32	694	10	12	2	22	21	20	22
16	116.5518378	39.77548491	30	219	10	12	21	10	0	14	8
17	116.4989708	39.75095333	102	543	10	22	15	11	24	4	0
18	116.5170379	39.7448044	444	959	10	10	25	10	24	19	2
19	116.5117305	39.76675261	229	582	10	0	21	2	5	12	16
20	116.5269796	39.77984447	95	352	10	14	19	16	13	1	22
21	116.5450245	39.75222218	418	529	10	3	18	21	14	4	22


